InChI                                                               	SMILES                  	Specie  	NameInMech  	Formula  	NoGAVs  	GAVsName                                                                                                        	Quantity                            	Symmetry	Rotors	IfRad	ParentMol   	C 	H 	O 	N 	Linearity
InChI=1S/C2H6/c1-2/h1-2H3                                           	CC                       	C2H6    	C2H6         	C2H6    	2       	C/C/H3                                                                                                              	2                               	18       	1     	no  	no          	2 	6 	0 	0 	no
InChI=1S/C3H8/c1-3-2/h3H2,1-2H3                                     	CCC                     	C3H8    	C3H8         	C3H8    	3       	C/C/H3,C/C2/H2                                                                                                      	2,1                             	18       	2     	no  	no          	3 	8 	0 	0 	no
InChI=1S/C4H10/c1-3-4-2/h3-4H2,1-2H3                                	CCCC                    	NC4H10  	C4H10       	C4H10   	4       	C/C/H3,C/C2/H2                                                                                                      	2,2                             	18       	3     	no  	no          	4 	10 	0 	0 	no
InChI=1S/C5H12/c1-3-5-4-2/h3-5H2,1-2H3                              	CCCCC                   	NC5H12  	NC5H12       	C5H12   	5       	C/C/H3,C/C2/H2                                                                                                      	2,3                             	18       	4     	no  	no          	5 	12 	0 	0 	no
InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3                            	CCCCCC                  	NC6H14  	NC6H14       	C6H14   	6       	C/C/H3,C/C2/H2                                                                                                      	2,4                             	18       	5     	no  	no          	6 	14 	0 	0 	no
InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3                          	CCCCCCC                 	NC7H16  	NC7H16       	C7H16   	7       	C/C/H3,C/C2/H2                                                                                                      	2,5                             	18       	6     	no  	no          	7 	16 	0 	0 	no
InChI=1S/C4H10/c1-4(2)3/h4H,1-3H3                                   	CC(C)C                  	IC4H10  	IC4H10       	C4H10   	4       	C/C/H3,C/C3/H                                                                                                       	3,1                             	81       	3     	no  	no          	4 	10 	0 	0 	no
InChI=1S/C5H12/c1-4-5(2)3/h5H,4H2,1-3H3                             	CCC(C)C                  	IC5H12  	IC5H12       	C5H12   	6       	C/C/H3,C/C2/H2,C/C3/H,AG                                                                                            	3,1,1,1                         	27       	4     	no  	no          	5 	12 	0 	0 	no
InChI=1S/C5H12/c1-5(2,3)4/h1-4H3                                    	CC(C)(C)C               	NEOC5H12	NEOC5H12    	C5H12   	5       	C/C/H3,C/C4                                                                                                         	4,1                             	972      	4     	no  	no          	5 	12 	0 	0 	no
InChI=1S/C6H14/c1-5-6(2,3)4/h5H2,1-4H3                              	CCC(C)(C)C               	22DMB   	NEC6         	C6H14   	8       	C/C/H3,C/C2/H2,C/C4,AG                                                                                              	4,1,1,2                         	243      	5     	no  	no          	6 	14 	0 	0 	no
InChI=1S/C6H14/c1-5(2)6(3)4/h5-6H,1-4H3                             	CC(C(C)C)C              	23DMB   	XC6         	C6H14   	8       	C/C/H3,C/C3/H,AG                                                                                                    	4,2,2                           	81      	5     	no  	no          	6 	14 	0 	0 	no
InChI=1S/C7H16/c1-5-7(4)6(2)3/h6-7H,5H2,1-4H3                       	CCC(C(C)C)C             	23DMP   	23DMP        	C7H16   	11      	C/C/H3,C/C2/H2,C/C3/H,AG,OI                                                                                         	4,1,2,3,1                       	81      	6     	no  	no          	7 	16 	0 	0 	no
InChI=1S/C7H16/c1-6(2)5-7(3)4/h6-7H,5H2,1-4H3                       	CC(CC(C)C)C             	24DMP   	24DMP        	C7H16   	9       	C/C/H3,C/C2/H2,C/C3/H,AG                                                                                            	4,1,2,2                         	162     	6     	no  	no          	7 	16 	0 	0 	no
InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3START_IC8              	CC(CC(C)(C)C)C          	224TMP  	IC8         	C8H18   	12      	C/C/H3,C/C2/H2,C/C3/H,C/C4,AG,H/REPEL/15                                                                            	5,1,1,1,3,1                     	729     	7     	no  	no          	8 	18 	0 	0 	no
InChI=1S/C8H18/c1-6(2)8(5)7(3)4/h6-8H,1-5H3                         	CC(C(C)C)C(C)C          	234TMP  	234TMP      	C8H18   	12      	C/C/H3,C/C3/H,AG                                                                                                    	5,3,4                           	243     	7     	no  	no          	8 	18 	0 	0 	no
InChI=1S/C9H20/c1-8(2,3)7-9(4,5)6/h7H2,1-6H3                        	CC(CC(C)(C)C)(C)C       	2244TMP 	2244TMP     	C9H20   	16      	C/C/H3,C/C2/H2,C/C4,AG,H/REPEL/15                                                                                   	6,1,2,4,3                       	13122   	8     	no  	no          	9 	20 	0 	0 	no
InChI=1S/C2H5/c1-2/h1H2,2H3                                         	C[CH2]                  	C2H5    	C2H5        	C2H5    	3       	C/C/H3,C2H5                                                                                                         	2,1                             	6       	1     	yes 	C2H6        	2 	5 	0 	0 	no
InChI=1S/C3H7/c1-3-2/h1,3H2,2H3                                     	CC[CH2]                 	C3H71J  	C3H71J       	C3H7    	5       	C/C/H3,C/C2/H2,P,P/BETA                                                                                             	2,1,1,1                         	6       	2     	YES 	C3H8         	3 	7 	0 	0 	no
InChI=1S/C3H7/c1-3-2/h3H,1-2H3                                      	C[CH]C                  	C3H72J  	IC3H7        	C3H7    	4       	C/C/H3,C/C2/H2,CC.C                                                                                                 	2,1,1                           	18      	2     	YES 	C3H8         	3 	7 	0 	0 	no
